ts_code,name,group
512480.SH,半导体ETF,半导体芯片
589100.SH,科创芯片ETF,半导体芯片
515880.SH,通信ETF,通信光模块
515980.SH,AI_ETF,AI数字
515230.SH,软件ETF,AI数字
159890.SZ,云计算ETF,AI数字
159779.SZ,消费电子ETF,AI数字
159869.SZ,游戏ETF,AI数字
159857.SZ,光伏ETF,新能源
159755.SZ,电池ETF,新能源
515030.SH,新能源车ETF,新能源
159326.SZ,电网设备ETF,新能源
562500.SH,机器人ETF,高端制造
159227.SZ,航空航天ETF,高端制造
512660.SH,军工ETF,高端制造
512800.SH,银行ETF,大金融
512880.SH,证券ETF,大金融
159892.SZ,非银ETF,大金融
512010.SH,医药ETF,医疗
159992.SZ,创新药ETF,医疗
159883.SZ,医疗器械ETF,医疗
561120.SH,家电ETF,大消费
515170.SH,食品ETF,大消费
512690.SH,酒ETF,大消费
159980.SZ,有色ETF,周期资源
515220.SH,煤炭ETF,周期资源
515210.SH,钢铁ETF,周期资源
561360.SH,石油ETF,周期资源
159870.SZ,化工ETF,周期资源
159713.SZ,稀土ETF,周期资源
159934.SZ,黄金ETF,周期资源
512200.SH,房地产ETF,地产链
516750.SH,建材ETF,地产链
159867.SZ,畜牧ETF,农业
515080.SH,红利ETF,红利
