方向,ts_code,ETF名称,板块,上周权重,本周权重,Δ权重
🔴 SELL,515030.SH,新能源车ETF,新能源, +7.00%, +0.00%, -7.00%
🔴 SELL,562500.SH,机器人ETF,高端制造, +7.00%, +0.00%, -7.00%
🔴 SELL,159713.SZ,稀土ETF,周期资源, +5.25%, +0.00%, -5.25%
🟢 BUY,515980.SH,AI_ETF,科技成长, +5.25%, +5.33%, +0.08%
🟢 BUY,589100.SH,科创芯片ETF,科技成长, +5.25%, +5.33%, +0.08%
🟢 BUY,159779.SZ,消费电子ETF,科技成长, +5.25%, +5.33%, +0.08%
🟢 BUY,515880.SH,通信ETF,科技成长, +7.00%, +7.11%, +0.11%
🟢 BUY,159890.SZ,云计算ETF,科技成长, +0.00%, +5.33%, +5.33%
🟢 BUY,512660.SH,军工ETF,高端制造, +0.00%, +7.11%, +7.11%
🟢 BUY,159326.SZ,电网设备ETF,新能源, +0.00%, +7.11%, +7.11%
