removed,name,group,Full_Sh,d_Full_Sh,OOS_Sh,d_OOS_Sh,Full_Cal,d_Full_Cal,OOS_Cal,d_OOS_Cal
159819.SZ,人工智能AI_ETF,AI软件,1.415,0.09,1.537,0.042,1.66,0.16,2.48,0.04
515050.SH,5G通信ETF,通信光模块,1.399,0.074,1.5,0.005,1.63,0.13,2.41,-0.02
159995.SZ,芯片ETF,芯片,1.341,0.016,1.488,-0.007,1.54,0.05,2.42,-0.01
159996.SZ,家用电器ETF,家电,1.341,0.016,1.48,-0.015,1.52,0.02,2.41,-0.03
516670.SH,化肥农药ETF,农业,1.34,0.015,1.51,0.014,1.51,0.02,2.46,0.03
159583.SZ,通信设备ETF,通信光模块,1.333,0.007,1.516,0.021,1.5,0.0,2.47,0.04
159516.SZ,半导体设备ETF,半导体,1.328,0.003,1.504,0.008,1.5,0.01,2.46,0.03
159663.SZ,智能家居ETF,家电,1.328,0.003,1.495,0.0,1.51,0.02,2.45,0.01
562590.SH,半导体材料ETF,半导体,1.327,0.002,1.501,0.006,1.5,0.0,2.46,0.02
159825.SZ,农业ETF,农业,1.326,0.001,1.497,0.001,1.5,0.0,2.41,-0.03
510880.SH,中证红利ETF,红利,1.323,-0.002,1.495,-0.0,1.5,-0.0,2.43,-0.0
561580.SH,央企红利ETF,红利,1.322,-0.003,1.488,-0.007,1.5,-0.0,2.42,-0.01
512290.SH,生物医药ETF,医疗,1.317,-0.008,1.499,0.004,1.48,-0.01,2.43,-0.0
512890.SH,红利低波ETF,红利,1.314,-0.011,1.501,0.006,1.47,-0.02,2.44,0.01
512760.SH,芯片产业ETF,芯片,1.294,-0.031,1.508,0.013,1.46,-0.04,2.44,0.01
