trade_week,,0
2019,n,51.0
2019,ann,0.28778754738740386
2019,vol,0.11273899969138186
2019,sharpe,2.5526884944447783
2019,sortino,4.241368045663467
2019,mdd,-0.059049424744396006
2019,calmar,4.873672328445772
2019,win,0.5490196078431373
2020,n,52.0
2020,ann,0.35120858528843235
2020,vol,0.13398537705763724
2020,sharpe,2.6212456388979746
2020,sortino,4.003383052777451
2020,mdd,-0.07615253068510275
2020,calmar,4.611909573178993
2020,win,0.6923076923076923
2021,n,55.0
2021,ann,0.2428693250126539
2021,vol,0.13054655961040054
2021,sharpe,1.860403872284848
2021,sortino,3.094585969739453
2021,mdd,-0.05260946089907159
2021,calmar,4.6164572086869615
2021,win,0.5818181818181818
2022,n,50.0
2022,ann,0.0722743486064843
2022,vol,0.09232800641709435
2022,sharpe,0.7827998395197976
2022,sortino,1.49220315961433
2022,mdd,-0.08234982556033421
2022,calmar,0.8776502939102397
2022,win,0.56
2023,n,50.0
2023,ann,0.2220243209571291
2023,vol,0.1346463556825524
2023,sharpe,1.6489441532348819
2023,sortino,2.8863984648363306
2023,mdd,-0.041523410960975116
2023,calmar,5.346967308774173
2023,win,0.64
2024,n,51.0
2024,ann,0.3860589975736164
2024,vol,0.16401462213462792
2024,sharpe,2.3538084138420783
2024,sortino,6.010400810689171
2024,mdd,-0.03978587391385491
2024,calmar,9.703418816676448
2024,win,0.6078431372549019
2025,n,53.0
2025,ann,0.32263611065943865
2025,vol,0.1311846115672635
2025,sharpe,2.4594051604445273
2025,sortino,4.962188606846873
2025,mdd,-0.04224369720656884
2025,calmar,7.637496999416735
2025,win,0.6415094339622641
2026,n,15.0
2026,ann,0.07710747059366252
2026,vol,0.11609616526762856
2026,sharpe,0.6641689707486198
2026,sortino,1.930740844511079
2026,mdd,-0.05487239694349333
2026,calmar,1.4052141857966673
2026,win,0.5333333333333333
